"gyros_belt_x","gyros_belt_y","gyros_belt_z","magnet_belt_x","magnet_belt_y","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_y","gyros_arm_z","magnet_arm_x","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","accel_forearm_x","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
0.03,0.02,0.02,53,634,0,0,0,35,-0.06,-0.05,-417,416,60.29088911,-40.71329662,-80.70707796,32,-0.06,-56,-61.4,64.5,-30.5,31,-0.05,0.69,-219,-190,-562,-114,408,"A"
0.05,0.02,0,51,620,0,0,0,35,-0.05,-0.03,-424,430,61.30053478,-38.91538006,-81.04574935,33,-0.11,-60,-59.7,65.6,-29.2,30,-0.08,1.19,-216,-186,-567,-116,414,"A"
0.05,0.02,0,53,623,0,0,0,35,-0.02,-0.02,-420,417,64.6988948,-38.75409309,-77.9228178,33,-0.08,-60,-57.1,67.2,-26.9,28,-0.11,1.41,-204,-181,-576,-85,428,"A"
0.05,0.02,0,50,624,0,0,0,36,0.02,0.03,-412,425,67.39920395,-40.2368173,-74.24827316,33,-0.02,-45,-54,68.6,-24.3,30,-0.14,1.43,-220,-183,-590,-48,451,"A"
0.05,0,0,49,623,0,0,0,35,0.1,0.07,-418,433,68.53807192,-42.6694081,-71.32164167,34,0,-31,-44.9,71.6,-15.7,31,-0.26,1.88,-234,-187,-613,6,479,"A"
0.05,0,0,53,624,0,0,0,34,0.14,0.05,-405,430,70.70367106,-41.14897088,-70.30878562,34,0.02,-41,-37.1,73.1,-8.02,29,-0.34,2.14,-209,-184,-630,21,486,"A"
0,0,0,54,623,0,0,0,38,0.83,-0.23,-335,467,74.22816553,-41.55628656,-66.43032086,33,-0.05,-30,4.26,74.4,33.2,24,-0.47,2.78,-147,-179,-655,167,570,"A"
-0.03,0,-0.02,54,623,0,0,0,37,1.11,-0.51,-275,493,64.96883434,-40.61350444,-76.33669535,33,0,-34,26.5,72.9,54.8,25,-0.82,2.44,-173,-170,-679,268,648,"A"
-0.06,0,-0.03,55,631,0,0,0,37,1.19,-0.66,-218,507,64.98704494,-49.80317583,-69.05091185,32,-0.02,-43,37.2,70,65.5,22,-0.74,3.52,-92,-157,-677,308,670,"A"
-0.1,0,-0.02,50,629,0,0,0,39,1.48,-0.77,-137,537,76.51968294,-27.55995216,-73.14379109,33,-0.03,-47,54.9,62.1,82.1,22,-0.4,2.23,-111,-155,-682,396,701,"A"
-0.11,-0.02,-0.05,47,628,0,0,0,36,1.75,-1.05,-31,557,53.50015637,-58.09415071,-72.41117942,31,-0.05,-47,61.9,53.2,87.5,30,-0.98,4.54,-86,-158,-662,528,767,"A"
-0.02,-0.03,-0.05,44,626,0,0,0,23,1.49,-0.54,301,541,69.01643414,-45.01571139,-69.01643414,32,-0.03,-51,70.3,27.7,93.5,38,-0.42,2.25,173,-108,-542,721,830,"A"
-0.02,-0.02,-0.05,40,621,0,0,0,23,1.41,-0.49,332,519,62.45729352,-33.92275813,-83.28071578,32,0.03,-48,70.8,25,93.5,35,-0.61,1.96,-51,-162,-513,747,832,"A"
-0.06,-0.02,-0.07,45,630,0,0,0,22,1.3,-0.62,422,488,52.59509888,-51.78511894,-78.83192735,29,-0.14,-43,70.6,15.5,95,37,-0.64,3.93,123,-104,-441,785,858,"A"
-0.11,0,-0.03,38,624,0,0,0,15,1.17,-0.69,549,399,70.36222826,-47.17734904,-65.89255847,32,0.08,-36,70.7,6.21,95.9,31,-0.75,1.98,95,-141,-363,795,868,"A"
-0.1,0.02,0,40,631,0,0,0,18,1.06,-0.61,586,366,78.77616147,-39.04871854,-63.59325817,31,0.24,-31,70.7,3.35,96.5,30,-0.61,2.38,90,-148,-334,799,864,"A"
0.02,0.02,0,46,630,0,0,0,16,0.98,-0.59,661,282,67.96717413,-38.1153812,-75.19356477,32,0.24,-26,69.3,-7.93,98.8,32,-0.93,2.97,153,-152,-229,788,873,"A"
0.14,0.02,-0.02,41,627,0,0,0,18,0.95,-0.43,699,214,53.07852589,-51.84289291,-78.36126496,29,0.05,-19,67.9,-15.9,100,36,-1.11,2.89,225,-139,-159,770,886,"A"
0.18,0,-0.03,40,617,0,0,0,20,0.82,-0.33,719,149,36.09607071,-62.51987429,-81.81628679,30,-0.27,-7,67,-23,101,36,-1.09,2.38,238,-121,-78,710,850,"A"
0.08,0,-0.05,49,626,0,0,0,24,0.66,-0.67,745,10,78.3993034,-38.4111088,-64.45202833,33,-0.21,2,67.3,-33.7,105,30,-0.21,1.11,162,-104,14,639,787,"A"
0.08,0.02,-0.03,48,630,0,0,0,26,0.61,-0.62,755,-3,71.74444558,-35.17433926,-73.43498783,32,-0.13,10,67.8,-34.9,106,31,-0.24,0.87,152,-110,25,637,781,"A"
0.1,0.02,0.02,40,631,0,0,0,26,0.48,-0.54,742,-34,66.34496881,-39.74826074,-75.62795393,29,0.13,3,69.2,-35.8,107,36,-0.03,0.21,184,-117,39,627,761,"A"
0.11,0.02,0.03,49,631,0,0,0,26,0.47,-0.57,749,-53,60.64163565,-48.7347136,-74.12351307,28,0.22,10,69.5,-35.7,108,37,0.24,0,187,-127,45,632,754,"A"
0.13,0.02,0.02,53,633,0,0,0,27,0.55,-0.62,742,-53,62.80549168,-57.61976479,-64.13217511,29,0.26,29,69.8,-35.2,109,37,0.37,-0.31,164,-128,37,627,752,"A"
0.14,0.02,0,50,631,0,0,0,27,0.63,-0.57,753,-75,56.33530738,-49.89924538,-77.12129294,29,0.31,8,70,-34.3,109,38,0.29,-0.72,174,-125,30,638,761,"A"
0.16,0,0,57,629,0,0,0,27,0.63,-0.56,748,-71,52.34769334,-49.67445407,-80.83965652,31,0.32,17,70.1,-32.6,110,39,0.32,-1.19,204,-121,13,664,766,"A"
0.16,0.02,0,57,630,0,0,0,29,0.58,-0.43,743,-99,56.24156117,-51.07083639,-76.21332762,30,0.32,2,70,-30.7,110,39,0.47,-1.46,211,-117,1,669,776,"A"
0.16,0.02,0,54,632,0,0,0,33,0.48,-0.25,741,-103,55.48088297,-50.83907433,-77.09510048,31,0.29,29,69.7,-28.2,111,38,0.59,-1.77,218,-107,-27,688,794,"A"
0.16,0,0.03,55,626,0,0,0,34,0.19,-0.03,730,-113,62.14402729,-50.19147285,-71.47364561,29,0.29,5,69.1,-22.3,111,38,0.8,-2.34,240,-87,-90,720,829,"A"
0.13,0,0.02,62,631,0,0,0,33,-0.1,0.07,736,-123,60.55063202,-49.1000898,-73.90471661,30,0.26,-4,68.9,-14.6,112,38,1.19,-2.87,237,-87,-147,749,861,"A"
0.02,-0.02,0.02,59,624,0,0,0,30,-0.42,-0.13,735,-109,65.74879805,-47.24019414,-70.45163704,31,0.42,-9,69.3,-1.24,114,37,1.35,-3.26,201,-99,-288,801,879,"A"
-0.06,-0.02,0,60,627,0,0,0,29,-0.51,-0.21,753,-80,68.40049071,-47.5795149,-67.54073489,31,0.43,-7,69.6,8.58,115,35,1.38,-3.56,176,-114,-371,795,875,"A"
-0.1,-0.02,0.05,53,620,0,0,0,28,-0.59,-0.11,751,-46,66.22323504,-45.10889968,-71.70607971,31,0.48,-19,69.5,18,115,32,1.22,-3.52,116,-132,-473,768,863,"A"
-0.1,-0.02,0,50,633,0,0,0,28,-0.66,0.05,754,-11,68.70290817,-45.25874134,-69.13544198,31,0.53,-26,69.1,27.7,114,29,1.25,-3.56,72,-137,-546,726,849,"A"
-0.11,-0.02,-0.02,50,615,0,0,0,26,-0.67,0.23,747,28,67.90692154,-45.70008658,-69.57384911,32,0.53,-35,68.3,37.1,113,26,1.08,-3.24,23,-145,-593,658,791,"A"
-0.11,-0.02,0,50,620,0,0,0,24,-0.75,0.36,756,45,68.12569973,-42.97208332,-71.498574,32,0.53,-24,68,41.2,112,26,1.03,-3.07,17,-147,-620,611,763,"A"
-0.11,-0.02,0,53,624,0,0,0,25,-0.88,0.44,742,110,67.74718053,-43.84278251,-71.20109017,31,0.53,-44,67.4,49.5,110,25,1.04,-3.23,-11,-153,-651,535,708,"A"
-0.11,0,0,44,629,0,0,0,17,-1,0.69,716,183,66.65876209,-41.52163411,-74.03109004,31,0.37,-42,66,60.5,106,27,0.8,-2.75,-104,-168,-670,401,629,"A"
-0.11,0,0,47,623,0,0,0,19,-1,0.77,699,212,64.36866245,-43.68147303,-74.62040337,31,0.35,-42,64.8,63.9,105,27,0.71,-2.62,-98,-169,-679,375,605,"A"
-0.08,-0.02,-0.03,42,626,0,0,0,16,-1.09,0.44,646,291,62.59430293,-43.62998291,-76.35759054,32,0.24,-54,55,74.5,93.5,27,0.5,-2.67,-155,-185,-674,237,526,"A"
-0.08,-0.02,-0.05,42,626,0,0,0,20,-1.08,0.28,617,338,65.60456041,-43.6250218,-73.46824217,32,0.21,-42,48.9,77.2,87.2,27,0.43,-2.59,-158,-193,-662,183,501,"A"
0.14,0,0.02,42,634,0,0,0,22,-0.87,0.43,464,459,66.20772232,-39.56084965,-75.89504051,33,0.14,-49,-47.5,82.3,-11.9,26,0.58,-3.28,-162,-189,-605,-19,401,"A"
0.13,0.02,0,48,629,0,0,0,25,-0.8,0.57,292,529,74.09880962,-32.98352945,-72.4697949,34,0.24,-63,-77.5,68.9,-43.3,33,-0.16,-1.57,-178,-191,-524,-192,345,"A"
0.02,0,0,47,635,0,0,0,20,-1,0.57,196,556,68.56282738,-34.4456371,-77.04738984,34,0.56,-67,-75.8,67.9,-44.2,31,-0.03,0.5,-191,-183,-533,-176,362,"A"
0.08,0,0.03,50,624,0,0,0,34,-1.14,0.84,-150,504,65.72335867,-37.72382175,-77.64784878,34,-0.06,-69,-23.3,81.3,5.88,27,-0.45,2.18,-194,-173,-632,47,496,"A"
0.08,0.02,0.05,53,625,0,0,0,35,-1.14,0.72,-164,491,68.71055102,-37.73942524,-74.72301125,34,0,-64,-5.42,81.4,23.8,24,-0.53,2.26,-173,-164,-635,69,511,"A"
0.08,0.02,0.02,48,627,0,0,0,37,-1.14,0.62,-214,489,68.23699447,-38.09861815,-74.94056676,34,0.02,-70,14.4,80.7,43.3,24,-0.53,2.36,-160,-173,-650,128,551,"A"
0.03,0.02,-0.02,47,629,0,0,0,37,-1.04,0.49,-264,450,68.89409366,-40.69667885,-72.4429267,34,0.03,-60,46.5,76.8,74.7,25,-0.5,3.12,-167,-176,-671,205,589,"A"
0,0,0,56,619,0,0,0,37,-0.95,0.43,-288,447,69.31107204,-39.4096708,-72.96105532,33,0,-49,56,73.3,83.7,23,-0.51,3.26,-122,-169,-675,274,628,"A"
-0.05,0.02,0.02,58,617,0,0,0,37,-0.71,0.28,-330,424,65.16513732,-43.43676759,-74.03912228,33,0,-59,69.6,65.6,95.1,25,-0.58,2.91,-123,-170,-680,362,674,"A"
-0.06,0,0,53,625,0,0,0,36,-0.69,0.23,-353,425,69.58217415,-43.57966527,-69.58217415,33,0.03,-57,72.6,60.7,97,27,-0.61,3.53,-94,-168,-677,432,701,"A"
0,0,0.02,53,629,0,0,0,35,-0.03,-0.05,-432,374,67.03838968,-48.83110106,-67.85007086,32,0.08,-44,78.1,30,97,29,-0.83,3.24,-15,-160,-549,717,822,"A"
-0.02,0,0,55,628,0,0,0,35,0.08,-0.16,-425,373,73.00600559,-41.50662533,-67.71691684,33,0.1,-62,78.6,24.5,96.9,30,-0.75,4.03,43,-153,-525,739,824,"A"
-0.03,0,-0.02,48,629,0,0,0,35,0.19,-0.3,-425,398,71.16815415,-31.41746452,-76.33403206,32,0.06,-57,79,20.2,96.8,35,-0.71,3.63,121,-153,-485,760,822,"A"
-0.08,0,-0.03,41,628,0,0,0,35,0.45,-0.28,-398,405,67.45086631,-47.87342691,-68.24509878,33,0.08,-68,78,10.3,96.2,38,-1.06,3.98,83,-165,-412,794,864,"A"
-0.1,-0.02,-0.03,49,618,0,0,0,36,0.58,-0.31,-390,415,71.16590071,-36.94300218,-72.83650797,32,0.1,-56,76.9,4.7,96.2,40,-1.11,4.22,151,-147,-351,807,878,"A"
-0.1,0,-0.03,45,622,0,0,0,37,0.71,-0.33,-367,426,66.97507285,-37.74965122,-76.41489809,32,0.13,-71,75.9,0.79,96,35,-1.09,3.02,178,-127,-331,802,885,"A"
-0.06,0,-0.03,47,628,0,0,0,38,1.17,-0.25,-284,453,63.42121927,-35.14620443,-81.57871422,31,0.13,-77,74.7,-9.9,94.5,34,-1.48,2.83,206,-138,-220,786,898,"A"
-0.05,0,-0.03,43,628,0,0,0,38,1.3,-0.26,-231,483,46.50687124,-44.68380324,-89.84976884,31,0.02,-59,74.4,-14,94.5,36,-1.3,2.81,244,-125,-178,771,887,"A"
-0.05,0,-0.03,46,624,0,0,0,37,1.41,-0.33,-210,480,45.04187546,-54.04195003,-83.1233303,31,-0.22,-68,74.3,-17.6,94.6,34,-1.11,2.59,229,-116,-148,756,892,"A"
-0.03,0,-0.02,41,624,0,0,0,37,1.62,-0.64,-119,506,54.5,-53.4,-75.7,33,-0.32,-59,75.1,-25,94.9,33,-1.16,2.67,213,-116,-86,722,853,"A"
-0.02,0,-0.03,45,631,0,0,0,36,1.73,-0.8,-51,514,62.5714316,-45.11530973,-75.22579559,31,-0.19,-51,76.1,-28.6,94.8,36,-1.19,2.49,236,-111,-33,691,826,"A"
0.03,0,-0.05,39,632,0,0,0,35,1.81,-0.92,55,533,74.28114479,-40.46563747,-67.1960782,30,-0.08,-40,78.2,-33.2,94.5,40,-0.83,1.48,249,-116,12,652,768,"A"
0.05,0,-0.03,43,628,0,0,0,30,1.78,-0.9,165,534,60.76382328,-46.28918164,-76.00304549,32,-0.14,-16,78.9,-36,95.3,35,-0.24,0.93,199,-122,44,633,749,"A"
0.06,0,-0.02,48,634,0,0,0,29,1.77,-0.84,202,526,55.52936486,-49.77590014,-77.94998944,31,-0.18,-23,79.1,-37,95.9,33,-0.18,0.75,179,-130,57,620,739,"A"
0.06,0,-0.05,46,629,0,0,0,25,1.62,-0.84,370,502,50.4578382,-52.35924454,-80.16938359,31,-0.5,-6,79.8,-38,98.1,35,0.27,-0.05,205,-137,67,615,723,"A"
0.06,0,-0.03,42,631,0,0,0,24,1.61,-0.84,400,483,60.68535811,-50.35631139,-72.71870658,30,-0.53,1,79.9,-37.6,99.2,35,0.47,-0.27,201,-144,59,614,723,"A"
0.06,0,0,42,632,0,0,0,22,1.54,-0.79,455,459,72.77958307,-44.32204664,-65.75721406,30,-0.42,-1,80.2,-36.8,101,35,0.56,-0.5,201,-151,54,622,723,"A"
0.08,0,0.02,43,632,0,0,0,18,1.28,-0.69,557,392,53.526905,-47.37107883,-81.713478,28,0,2,81.3,-32.8,104,37,0.64,-1.25,192,-140,8,666,732,"A"
0.06,0.02,0.02,49,632,0,0,0,16,1.17,-0.69,615,335,59.45801902,-45.2481732,-78.0474849,30,0.06,2,81,-28.3,106,43,0.79,-1.73,232,-116,-32,697,754,"A"
0.08,0.02,0.05,45,630,0,0,0,17,1.04,-0.43,691,254,55.34687288,-50.50697013,-77.49700114,29,0.35,8,79,-16.9,110,39,1.08,-3.21,213,-103,-152,755,822,"A"
0.08,0.02,0.05,49,624,0,0,0,17,1,-0.3,704,214,49.68205749,-57.01005271,-76.69209308,29,0.4,10,78.4,-12.4,111,40,1.08,-3.29,224,-107,-187,773,828,"A"
0.08,0,0.02,47,638,0,0,0,18,0.82,-0.2,723,157,54.28429037,-54.28429037,-75.16787403,29,0.37,11,77.1,-2.59,113,40,1.36,-3.52,215,-115,-296,795,872,"A"
0.08,0,0.02,52,626,0,0,0,20,0.77,-0.23,735,112,46.45652033,-56.68257525,-79.63417094,30,0.26,18,76.6,2.46,113,38,1.43,-3.71,194,-122,-330,807,874,"A"
0.08,0,0.03,51,623,0,0,0,20,0.74,-0.25,739,93,47.36158676,-56.71053932,-78.87883681,30,0.14,16,76.3,7.94,114,36,1.38,-3.87,173,-132,-403,798,880,"A"
0.06,0,0.02,47,628,0,0,0,20,0.71,-0.38,751,60,51.35366324,-54.4295354,-77.59276706,31,0.13,20,76.1,13.2,115,35,1.32,-3.89,140,-137,-458,776,881,"A"
0.05,0.02,0.02,46,628,0,0,0,21,0.64,-0.54,751,32,57.75949249,-51.40968868,-74.54112189,30,0.19,15,76,18.7,115,35,1.32,-3.89,145,-141,-480,769,872,"A"
-0.05,0,0,48,628,0,0,0,26,0.55,-0.84,750,-61,64.86335551,-47.02100253,-71.49553015,30,0.4,23,74.9,39.3,115,27,1.04,-3.53,3,-156,-626,614,798,"A"
-0.06,0,0,47,625,0,0,0,32,0.42,-0.54,745,-100,66.81286033,-48.32263739,-68.50339395,31,0.5,10,74.6,49,115,25,1.11,-3.68,13,-159,-655,525,747,"A"
-0.03,0,-0.02,46,626,0,0,0,38,0.03,-0.33,736,-139,70.39234092,-44.73299893,-67.8594513,31,0.53,-23,74.1,66.7,113,24,0.75,-3.18,-92,-162,-682,333,631,"A"
-0.05,0,0,41,628,0,0,0,35,-0.08,-0.3,732,-145,70.71272249,-44.43482941,-67.77318646,32,0.55,-20,74.3,70.3,113,23,0.69,-3.45,-93,-172,-677,262,593,"A"
-0.03,0,-0.02,47,631,0,0,0,32,-0.34,0.05,730,-124,65.96244856,-46.29353181,-71.01352525,31,0.56,-30,80.6,81.8,118,24,0.55,-2.73,-159,-171,-646,104,505,"A"
-0.06,-0.02,-0.05,43,634,0,0,0,30,-0.5,0.26,746,-88,66.47473671,-42.73977298,-73.29719271,31,0.48,-38,-144,87,-107,28,0.55,-2.67,-198,-185,-597,-30,432,"A"
-0.05,0,-0.02,47,632,0,0,0,30,-0.72,0.41,749,-8,63.2432881,-43.84684743,-75.57255622,31,0.43,-42,-108,78.1,-72.5,28,0.27,-2.52,-190,-190,-551,-149,381,"A"
-0.03,0,-0.02,48,632,0,0,0,26,-0.8,0.44,753,7,65.13982386,-43.1272536,-74.30022853,32,0.43,-46,-106,75.3,-69.9,38,0.16,-2.15,-259,-200,-528,-161,366,"A"
0.02,0.02,-0.02,42,628,0,0,0,23,-0.87,0.49,750,44,65.5,-40.6,-75.9,32,0.45,-44,-104,73.8,-68.2,35,-0.1,-1.19,-215,-193,-523,-179,362,"A"
0.05,0.02,0,43,636,0,0,0,25,-0.96,0.59,746,67,62.39419335,-42.23834303,-77.6015352,32,0.43,-55,-103,73.1,-66.9,31,-0.19,-0.59,-163,-188,-522,-191,359,"A"
0.08,0.02,0.02,43,633,0,0,0,27,-1,0.57,741,103,62.59585723,-43.72891742,-76.28019128,32,0.4,-56,-103,72.8,-66.7,32,-0.05,-0.26,-174,-186,-517,-195,368,"A"
0.11,0,0,46,629,0,0,0,22,-1.08,0.57,736,129,62.09796524,-44.37989559,-76.24998534,33,0.35,-62,-102,73.1,-67,33,-0.05,0.21,-201,-186,-517,-184,366,"A"
0.11,0,0,47,625,0,0,0,16,-1.12,0.54,716,171,62.44756694,-42.30180817,-77.50340504,33,0.31,-49,-102,74,-67.5,32,-0.11,0.71,-205,-192,-523,-181,376,"A"
0.1,0.02,0,51,629,0,0,0,24,-1.11,0.56,669,256,65.452397,-39.19385145,-76.88708283,34,0.27,-67,-105,79.2,-71.3,30,-0.13,1.56,-216,-188,-551,-116,410,"A"
0.08,0,0.02,45,618,0,0,0,15,-1.27,0.52,641,300,65.33156032,-35.79142099,-79.32251313,34,0.29,-71,-107,81.6,-73.7,29,-0.26,1.89,-206,-180,-575,-95,437,"A"
0.03,0,0.02,53,631,0,0,0,15,-1.38,0.48,614,324,67.45139169,-34.64316634,-78.00857588,34,0.35,-75,-110,84,-76.9,27,-0.34,1.96,-182,-178,-590,-50,463,"A"
0,0,0,45,630,0,0,0,19,-1.06,0.49,554,391,70.34550338,-36.47094009,-73.96922734,34,0.45,-62,-161,88.7,-129,27,-0.29,2.06,-191,-183,-619,15,488,"A"
-0.02,0,0,46,623,0,0,0,18,-1.11,0.56,507,414,68.87026718,-34.60198718,-76.64605366,33,0.39,-72,108,87,140,26,-0.29,2.54,-185,-178,-632,42,505,"A"
-0.02,0,0,48,620,0,0,0,22,-1.25,0.46,478,433,67.45580168,-35.93753817,-77.16454182,34,0.27,-69,94.7,83.4,126,23,-0.35,2.78,-152,-165,-649,100,536,"A"
-0.03,0,0,44,625,0,0,0,26,-1.04,0.33,395,482,65.67588669,-36.33383536,-78.63162384,34,0.03,-75,94.3,77.8,123,24,-0.35,2.36,-134,-182,-667,176,581,"A"
-0.02,0.02,0.02,45,625,0,0,0,22,-1.2,0.75,287,522,67.08068922,-35.6595682,-77.71274338,33,-0.1,-74,93.3,68.3,121,25,-0.27,3.84,-144,-182,-674,309,632,"A"
-0.02,0,-0.02,51,629,0,0,0,27,-1.24,0.87,251,526,68.14310197,-37.43334627,-75.48972599,33,-0.13,-58,92.9,64,119,24,-0.37,3.15,-127,-170,-680,345,648,"A"
-0.02,-0.02,-0.03,47,623,0,0,0,32,-1.17,0.84,204,541,68.99395029,-38.58925734,-73.8542841,33,-0.11,-56,92.1,59.5,117,27,-0.74,3.02,-140,-178,-681,399,679,"A"
-0.02,0,-0.02,48,627,0,0,0,28,-1.06,0.54,128,546,66.84938239,-37.90925169,-76.42765967,34,-0.13,-62,91,48.7,113,27,-0.71,4.51,33,-153,-653,516,742,"A"
-0.03,-0.02,-0.03,42,625,0,0,0,26,-1.16,0.87,48,532,73.46187235,-38.98380038,-69.1103075,34,-0.06,-53,92.1,40.5,110,35,-0.47,3.07,-75,-182,-633,596,742,"A"
-0.03,-0.02,-0.03,41,624,0,0,0,31,-1.35,1.1,-46,506,66.29424585,-40.79788832,-74.91872513,33,-0.11,-40,92.6,28.8,109,43,0,4.26,106,-152,-554,694,758,"A"
-0.06,-0.02,-0.07,43,626,0,0,0,35,-1.49,1.2,-127,489,73.41445701,-39.192025,-69.00895993,34,-0.11,-47,92.4,22.9,107,34,-0.72,2.41,-96,-170,-510,736,769,"A"
-0.08,-0.02,-0.03,43,630,0,0,0,40,-1.35,0.75,-230,443,72.10187597,-44.50829658,-66.30232581,32,0.03,-46,90.6,8.91,103,31,-0.83,3.03,80,-152,-397,783,815,"A"
-0.06,-0.02,-0.03,43,628,0,0,0,40,-1.24,0.48,-263,436,76.92550396,-31.50439774,-70.51826697,32,-0.02,-50,90.1,4.93,101,31,-1.06,3.1,94,-155,-372,798,811,"A"
-0.1,-0.03,-0.05,36,630,0,0,0,37,-0.9,0.21,-312,408,58.13904466,-45.48740459,-79.07648012,33,0,-55,89.6,-4.75,99,40,-1,4.01,233,-150,-285,798,823,"A"
-0.08,-0.03,-0.05,39,627,0,0,0,35,-0.69,0.16,-326,397,65.16180311,-53.10860089,-65.9757865,32,-0.06,-59,89.5,-9.23,98.3,44,-0.79,3.32,283,-142,-231,785,820,"A"
-0.06,-0.02,-0.07,32,637,0,0,0,33,-0.39,-0.26,-378,382,50.52630529,-45.72929462,-85.64035111,31,-0.27,-50,90.4,-19,95.5,39,-1.14,2.63,213,-159,-125,745,813,"A"
-0.13,-0.03,-0.1,30,629,0,0,0,32,-0.06,-0.46,-380,389,65.14141214,-51.42187532,-67.49677227,33,-0.26,-48,90.7,-25.3,93.3,38,-1.09,2.25,217,-140,-60,719,781,"A"
-0.14,-0.03,-0.08,33,629,0,0,0,33,0.1,-0.39,-381,391,68.00570123,-38.1738054,-75.11534145,34,-0.08,-41,91.1,-28,92.1,36,-1.14,2.04,223,-129,-42,706,780,"A"
-0.11,0.02,-0.03,30,635,0,0,0,36,0.64,-0.23,-342,437,75.42426309,-37.03399571,-68.48624332,31,0.06,-42,93.9,-35.4,89.5,38,-0.47,1.28,200,-126,54,628,708,"A"
-0.1,0.02,-0.05,32,635,0,0,0,37,0.8,-0.18,-304,438,59.9854919,-42.93678199,-79.34101632,32,0.08,-38,94.8,-36.1,89.3,38,-0.35,0.53,217,-117,52,627,709,"A"
0.1,0,-0.03,28,634,0,0,0,39,1.62,-0.72,-131,489,50.90703917,-52.05761966,-80.04881499,31,-0.19,-16,94.8,-34.4,94,35,0.53,-0.79,186,-145,37,642,714,"A"
0.14,0,-0.02,32,635,0,0,0,37,1.75,-0.92,-36,515,61.23142581,-55.45715282,-67.69111243,30,-0.29,-3,94.3,-31.8,96.8,36,0.67,-1.19,193,-147,15,666,717,"A"
0.14,0,-0.03,30,631,0,0,0,36,1.81,-0.97,45,520,60.00669391,-52.36722658,-71.62306077,30,-0.4,1,93.9,-30,98.5,37,0.72,-1.45,196,-146,-19,678,729,"A"
0.11,0,0.02,35,638,0,0,0,28,1.77,-0.89,252,514,57.35521876,-49.08780675,-76.87410673,30,-0.26,-7,90.8,-19.2,105,42,0.87,-2.73,212,-133,-142,758,800,"A"
0.11,0.02,0.02,37,633,0,0,0,25,1.72,-0.72,362,487,36.17338353,-50.61779997,-92.6971705,29,-0.1,-10,88.9,-10.7,108,40,1.08,-3.2,204,-131,-221,785,841,"A"
0.13,0.02,0.03,33,627,0,0,0,20,1.53,-0.79,507,428,63.48917413,-43.85186858,-75.33359046,30,0.18,6,86.7,2.39,113,39,1.24,-3.5,185,-123,-372,800,895,"A"
0.13,0.02,0.03,37,635,0,0,0,20,1.48,-0.84,526,413,58.13578418,-45.64078603,-78.95825174,29,0.24,5,86.1,7.41,114,37,1.3,-3.66,173,-119,-397,797,889,"A"
0.14,0.02,0.03,40,631,0,0,0,19,1.43,-0.84,579,386,53.76358729,-47.9764152,-81.01079865,30,0.31,15,85.7,12.4,115,35,1.32,-3.81,134,-125,-452,778,893,"A"
0.14,0.02,0.05,40,631,0,0,0,17,1.38,-0.87,593,360,55.65017687,-50.54495253,-77.19307413,30,0.35,18,85.4,17.6,117,34,1.3,-3.77,122,-132,-508,759,889,"A"
0.14,0.02,0.07,42,625,0,0,0,16,1.24,-0.82,639,309,62.0622955,-54.27875922,-67.96217595,28,0.42,13,85,28.6,119,26,1.33,-4.17,23,-147,-583,683,861,"A"
0.08,0,0.03,44,637,0,0,0,17,0.98,-0.56,711,195,53.08540061,-53.87524644,-76.5847591,30,0.26,4,87.2,47.4,124,23,1.28,-3.61,-5,-148,-662,518,773,"A"
0.03,0,0.02,43,626,0,0,0,19,0.75,-0.44,746,95,68.062935,-47.88805283,-67.62126277,30,0.35,-1,94.2,58.7,131,24,1.11,-3.31,-98,-171,-678,350,645,"A"
-0.02,0.02,0.03,39,633,0,0,0,27,0.74,-0.87,754,-27,66.55684069,-47.41254318,-69.51473152,31,0.35,-16,113,70.5,150,23,1.16,-3.29,-95,-164,-655,124,483,"A"
-0.02,0,0.03,36,626,0,0,0,30,0.72,-0.67,749,-43,65.44891031,-45.40009738,-72.23104679,31,0.34,-19,123,73,160,27,1.16,-3.63,-183,-176,-643,82,447,"A"
-0.03,0,0.02,44,628,0,0,0,32,0.59,-0.48,755,-88,62.30421546,-48.1909891,-72.99961374,31,0.34,-18,136,75.4,173,31,0.92,-3.02,-233,-192,-625,19,406,"A"
-0.03,0,0,41,619,0,0,0,35,0.4,-0.34,742,-96,67.14271962,-48.54178907,-67.99088549,31,0.39,-19,152,76.8,-170,26,1,-3.21,-143,-202,-598,-51,347,"A"
-0.05,0,-0.03,45,631,0,0,0,36,-0.06,-0.39,724,-161,67.32386393,-45.0222493,-70.69283709,31,0.48,-35,-159,75.7,-119,35,-0.26,-1.38,-180,-233,-531,-193,288,"A"
-0.02,0.02,-0.03,41,639,0,0,0,33,-0.27,-0.26,733,-136,57.82332068,-47.78801147,-77.51797711,31,0.22,-42,-156,76.7,-117,31,-0.11,0.87,-169,-207,-535,-193,306,"A"
